tweets,id,len,date,source,likes,retweets,polarity,subjectivity
"@shonottra Hey, someone I know is interested. Please could you open your dms to me, she doesn't have Twitter and I can give you her email.",1045681982837993475,138,2018-09-28 14:29:47,Twitter for Android,0,0,0.12,0.5
"@shonottra Might know someone, let me reach out to her and let you know if she's interested.",1045669143524122624,92,2018-09-28 13:38:46,Twitter for Android,0,0,0.25,0.5
@shonottra @NyaayaIN @RuchiKumar @MariyaS87 @adityampaul @suchindranbn @CB_Aman @pinthecreep @salonikap Location?,1045666166491029505,113,2018-09-28 13:26:56,Twitter for Android,0,0,0.0,0.0
@shreyamunot @akritigaur Also I think in the Srikrishna Committee Report.,1045373593985511424,73,2018-09-27 18:04:21,Twitter for Android,2,0,0.0,0.0
@kansmckans https://t.co/ypcA0D4Mix,1045313266845605895,35,2018-09-27 14:04:38,Twitter for Android,0,0,0.0,0.0
"@kansmckans Lol was it the whole, ""wHaT abOUt tHE SaNcTiTy oF mArrIAGe"" argument?",1045311809102667777,81,2018-09-27 13:58:50,Twitter for Android,0,0,0.5,0.55
"@pranesh @MaLawdy You're right, thanks! :)",1044891242126077954,42,2018-09-26 10:07:39,Twitter for Android,0,0,0.24,0.37
@pranesh @PoojaPrasanna4 @UIDAI It's time for Bangalore to lead on tech policy. Possible DPA here?,1044880131775451137,98,2018-09-26 09:23:31,Twitter for Android,1,0,0.0,1.0
"@pranesh @MaLawdy Just curious though, given that the *use* of the Aadhaar auth comes from Ss. 7 and 8 largely, whe… https://t.co/pZVLx3c6SO",1044877614526156800,140,2018-09-26 09:13:30,Twitter for Android,0,0,0.06,0.71
@MaLawdy @pranesh And again. https://t.co/stGEJu1xyr,1044868052406480896,52,2018-09-26 08:35:31,Twitter for Android,0,0,0.0,0.0
@MaLawdy @pranesh Seems clear to me. https://t.co/ngpioDzIEO,1044865435219505153,60,2018-09-26 08:25:07,Twitter for Android,0,0,0.1,0.38
@MaLawdy @pranesh https://t.co/bR12rqCfIB,1044864219299164162,41,2018-09-26 08:20:17,Twitter for Android,0,0,0.0,0.0
"@MaLawdy @pranesh If there is an express statement saying ""use by private parties is unconstitutional"" though this… https://t.co/9nCP09Hpo3",1044863270971219970,139,2018-09-26 08:16:31,Twitter for Android,0,0,0.0,0.38
"@MaLawdy @pranesh https://t.co/TEwxKtuayz

Possible, yes.",1044861506666582017,57,2018-09-26 08:09:30,Twitter for Android,0,0,0.0,1.0
